system:index,B1,B11,B12,B2,B3,B4,B5,B8,B4/B11+B12,B3/B5,B2+b3/B1+B2+B4,B3+B5/B1+B4,B3/(b1+b4),B12/B11,B11/B12,B3/B4,B4/B3,B4/B1,(B3+B4)/B3,(B2+B3)/(B1+B4),DQO_TOT,P_TOT,pH_CAMPO,OD_mg/L,TURBIEDAD,SST,SDT,COLOR_VER,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,n_images,nombre,range_end,range_start,target_date,.geo
0_0,0.1303,0.111500002,0.067299999,0.093000002,0.071099997,0.060800001,0.084200002,0.062899999,0.340044745,0.844417989,0.577613505,0.812663515,0.555035101,0.603587424,1.168609843,1.169407819,0.85513367,0.903417558,1.85513367,1.281030432,27,0.164516,7.8,8.88,7.4,10,2406.4,4,0.133896,0.098527,12.085357,1.45656,13.77434,1.590456,2,Punto_1,3/27/2016,1/26/2016,2/25/2016,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
1_0,0.1373,0.123499997,0.074299999,0.096900001,0.086499996,0.074900001,0.089000002,0.104999997,0.378665334,0.971910056,0.593335479,0.82704994,0.57975869,0.601619437,1.111740915,1.154873097,0.865896004,1.008075407,1.865896004,1.229222505,21,0.113791,7.1,7.82,7.6,9,774.4,13,0.256978,0.173554,9.055294,0.949352,10.435178,1.20633,2,Punto_1,5/13/2016,3/13/2016,4/12/2016,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
2_0,0.137700006,0.122550003,0.068149999,0.102349997,0.089450002,0.072800003,0.085749999,0.112949997,0.381751454,1.043148724,0.613073341,0.832304003,0.634622211,0.556099527,1.123623033,1.228708764,0.813862511,1.068231904,1.813862511,1.3607662,15.77,0.191211,7.9,7.92,12,13,5856,15,0.888774,0.198768,4.103905,1.118552,6.309999,2.007326,4,Punto_1,6/17/2016,4/17/2016,5/17/2016,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
3_0,0.138099998,0.121600002,0.061999999,0.107799999,0.092399999,0.070699997,0.082500003,0.120899998,0.385076236,1.119999949,0.632343658,0.83764371,0.696307476,0.509868404,1.135690756,1.306930737,0.765151489,1.140322555,1.765151489,1.508666199,9,0.044255,7.6,6.92,14,13,2976,15,0.123326,0.086101,2.998253,1.740189,4.947869,1.863515,2,Punto_1,7/24/2016,5/24/2016,6/23/2016,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
4_0,0.1373,0.118299998,0.059900001,0.0942,0.078599997,0.067299999,0.075499997,0.108499996,0.377665542,1.041059609,0.578313245,0.753176902,0.617924504,0.506339827,1.160608635,1.167904869,0.856234122,1.123539207,1.856234122,1.358490543,14.1,0.159214,8.1,6.84,7,24,1141.76,13,0.216185,0.150218,4.92391,2.108327,7.39864,2.324512,2,Punto_1,8/26/2016,6/26/2016,7/26/2016,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
5_0,0.126900002,0.098499998,0.047400001,0.088,0.072999999,0.055399999,0.068300001,0.053300001,0.379712125,1.068814019,0.595634472,0.775095991,0.710116718,0.481218296,1.288324917,1.317689535,0.758904107,1.168776315,1.758904107,1.566147838,11.09,0.137252,7.3,6.3,12,11,882.56,10,0.14086,0.232997,6.843417,0.878977,8.096251,1.019837,2,Punto_1,10/5/2016,8/5/2016,9/4/2016,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
6_0,0.125200003,0.1087,0.064000003,0.097499996,0.077600002,0.070900001,0.088500001,0.0735,0.410538503,0.876836179,0.59638964,0.847016825,0.575240921,0.588776478,1.151793962,1.094499317,0.913659775,1.107812457,1.913659775,1.297998473,28.18,0.58454,8.2,6.36,10,10.7,1493.76,25,3.39953,0.60629,3.56664,0.74838,8.32084,4.14791,3,Punto_1,3/25/2017,1/23/2017,2/22/2017,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
7_0,0.128649995,0.111450002,0.059250001,0.0973,0.081100002,0.069849998,0.081649996,0.0933,0.409197403,0.993264,0.603110232,0.819899267,0.628195219,0.531628533,1.154329232,1.161059478,0.861282319,1.178902899,1.861282319,1.381874549,20.81,0.06674,8.2,6.34,5.2,9,1331.2,10,0.48537,0.19026,7.348,0.85719,8.88082,1.34256,3,Punto_1,5/5/2017,3/5/2017,4/4/2017,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
8_0,0.142550007,0.140949994,0.087650001,0.1105,0.097549997,0.086149998,0.099950001,0.110299997,0.376859142,0.97598796,0.613354937,0.863576712,0.561277318,0.621851753,1.01135163,1.132327331,0.883136857,0.982886446,1.883136857,1.197065586,22.41,0.11634,8.1,7.58,8.1,12.3,4472,20,0.15085,0.16031,6.07035,0.9147,7.29621,1.06555,2,Punto_1,6/16/2017,4/16/2017,5/16/2017,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
9_0,0.145099998,0.145150006,0.081550002,0.10915,0.0973,0.08365,0.098350003,0.101350002,0.368989843,0.989323815,0.610979585,0.855300571,0.588983045,0.561832579,0.999655472,1.163179917,0.85971223,1.025751051,1.85971223,1.24969732,51.65,0.23121,7.2,5.28,11,14.67,2060.8,25,1.00143,0.35631,2.84107,1.46841,5.66722,2.46984,2,Punto_1,7/28/2017,5/28/2017,6/27/2017,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
10_0,0.142399997,0.179100007,0.119000003,0.100599997,0.088,0.081900001,0.111599997,0.113700002,0.274740013,0.788530485,0.580486303,0.88987962,0.43802886,0.664433268,0.795086494,1.074481061,0.93068183,0.688235283,1.93068183,0.938775476,36.79,0.16438,7.5,6.68,39,33.67,1472,30,0.695851,0.162819,3.48283,1.077743,5.419243,1.773594,1,Punto_1,9/8/2017,7/9/2017,8/8/2017,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
11_0,0.1426,0.145999998,0.102300003,0.108750001,0.097499996,0.085550003,0.10345,0.098549999,0.344542901,0.942484255,0.612199451,0.880780164,0.519031106,0.700684964,0.976712342,1.139684317,0.877435958,0.836265886,1.877435958,1.097950442,24.49,0.29918,7.7,4.73,11,11.33,2265.6,20,0.91,0.52822,4.91822,0.67626,7.0327,1.58626,4,Punto_1,10/19/2017,8/19/2017,9/18/2017,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
12_0,0.136399999,0.116499998,0.075999998,0.1039,0.090700001,0.079000004,0.097000003,0.113899998,0.410389639,0.935051524,0.609458186,0.871402047,0.585161289,0.652360507,1.170815468,1.14810122,0.871003343,1.039473765,1.871003343,1.255483868,34.59,0.4512,7.8,7.13,4.3,16,5032,8,0.944684,0.64234,10.824501,0.73616,13.147685,1.680844,5,Punto_1,3/11/2018,1/9/2018,2/8/2018,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
13_0,0.132799998,0.116499998,0.078599997,0.099100001,0.090599999,0.076099999,0.097000003,0.113899998,0.390056388,0.934020579,0.615909094,0.898037359,0.585649652,0.674678098,1.139914168,1.190538761,0.839955852,0.968193413,1.839955852,1.226244375,32.64,0.02135,7.3,10.14,6.6,11,1120,15,0.772011,0.552796,5.535266,0,6.860073,0.772011,5,Punto_1,4/13/2018,2/11/2018,3/13/2018,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
14_0,0.153050005,0.1329,0.076700002,0.115649998,0.098200001,0.079750001,0.104050003,0.132650003,0.380486645,0.943777011,0.613717882,0.868771468,0.627676566,0.577125675,1.151617802,1.231347951,0.812118134,1.039765312,1.812118134,1.366890344,21.89,0.32169,7.3,8.32,25,32,1045.76,8,0.398571,0.358772,7.175577,0.84161,8.77453,1.240181,4,Punto_1,5/27/2018,3/27/2018,4/26/2018,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
15_0,0.162349999,0.166299999,0.09725,0.140699998,0.135450006,0.131500006,0.140100002,0.146650001,0.498956579,0.966809446,0.635484988,0.93772334,0.592131158,0.584786533,0.976247746,1.03003802,0.97083795,1.352185154,1.97083795,1.2072131,30.68,0.32707,7.7,4.18,11,12,3020.8,10,2.051996,0.7567,6.7114,0.53867,16.7,2.590666,8,Punto_1,7/9/2018,5/9/2018,6/8/2018,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
16_0,0.129600003,0.173600003,0.092799999,0.0977,0.0902,0.070699997,0.096699998,0.239700004,0.265390378,0.932781816,0.63053691,0.933100333,0.551681967,0.534562196,0.746543785,1.275813338,0.783813721,0.761853428,1.783813721,1.149235498,28.96,0.50194,7.5,5.95,18,17.67,4600,25,3.664455,0.768876,4.67184,1.39154,10.496711,5.055995,3,Punto_1,11/8/2018,9/8/2018,10/8/2018,"{""type"":""Point"",""coordinates"":[-100.34494900000001,25.811927000000004]}"
